,Champion,G,PB%,B,G,By,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,DMG,DMG/M,KPAR,KS,GS,As
0,Nunu,27,96.4%,9,18,6,12,6,66.7%,1.06,2.67,8.61,3.63,90.17,2.46,9.4,256,-,-,-,-,-,
1,Alistar,25,89.3%,12,13,4,8,5,61.5%,3.46,2.69,7.38,4.03,114,3.11,9.6,261,-,-,-,-,-,
2,Rumble,23,82.1%,21,2,2,2,0,100%,3.5,1.5,9,8.33,162,5.02,10.1,311,-,-,-,-,-,
3,Vladimir,22,78.6%,14,8,5,3,5,37.5%,4.5,3.5,3.88,2.39,224.63,5.99,11.2,298,-,-,-,-,-,
4,Twisted Fate,22,78.6%,18,4,2,2,2,50%,2,4.5,5.5,1.67,206.5,5.43,11.4,299,-,-,-,-,-,
5,Corki,20,71.4%,5,15,8,8,7,53.3%,4.67,2.73,4.27,3.27,266.13,7.07,12.6,334,-,-,-,-,-,
6,Jarvan IV,20,71.4%,7,13,5,8,5,61.5%,2.77,2.77,10,4.61,152.77,3.75,12.5,306,-,-,-,-,-,
7,Vayne,20,71.4%,12,8,5,4,4,50%,5.75,4.38,5.5,2.57,228.75,6.1,12.1,322,-,-,-,-,-,
8,Janna,19,67.9%,1,18,6,10,8,55.6%,0.28,2.33,9.5,4.19,25.06,0.63,8.1,204,-,-,-,-,-,
9,Ashe,19,67.9%,2,17,8,13,4,76.5%,4.29,2.18,7,5.19,244,6.26,13.2,340,-,-,-,-,-,
10,Nidalee,19,67.9%,15,4,3,3,1,75%,2.5,2,3.5,3,192.25,6.03,9.7,304,-,-,-,-,-,
11,Sona,18,64.3%,3,15,6,9,6,60%,0.53,1.93,8.53,4.69,17.93,0.47,7.7,203,-,-,-,-,-,
12,Amumu,18,64.3%,8,10,6,3,7,30%,1.3,4.1,6.7,1.95,114.7,2.94,9.3,240,-,-,-,-,-,
13,Malzahar,16,57.1%,-,16,6,9,7,56.3%,4.19,2.63,5.81,3.81,224.44,6.12,11.4,310,-,-,-,-,-,
14,Warwick,14,50%,3,11,7,6,5,54.5%,3,2.27,7,4.4,127.82,3.33,9.7,252,-,-,-,-,-,
15,Anivia,14,50%,5,9,4,5,4,55.6%,4.11,2,5.89,5,225.78,5.98,11.7,310,-,-,-,-,-,
16,Taric,13,46.4%,3,10,6,3,7,30%,0.8,3.6,6,1.89,22.3,0.59,7.5,199,-,-,-,-,-,
17,Annie,10,35.7%,2,8,5,4,4,50%,5.25,3.88,7.13,3.19,214.88,5.03,12.3,289,-,-,-,-,-,
18,Karthus,9,32.1%,3,6,4,2,4,33.3%,2.67,7.17,7.83,1.47,218.83,5.23,11.4,274,-,-,-,-,-,
19,Brand,8,28.6%,-,8,3,3,5,37.5%,3.38,2.75,4.38,2.82,213.25,5.41,10.7,272,-,-,-,-,-,
20,Miss Fortune,8,28.6%,-,8,4,2,6,25%,2.63,2.88,2.75,1.87,249.38,6.64,11.3,302,-,-,-,-,-,
21,Soraka,8,28.6%,1,7,5,2,5,28.6%,0.29,2.71,8.71,3.32,17.71,0.5,6.2,174,-,-,-,-,-,
22,Gragas,7,25%,3,4,3,3,1,75%,3.75,1,6.25,10,267,7.08,12.8,339,-,-,-,-,-,
23,Nocturne,7,25%,3,4,3,2,2,50%,3.25,2.75,7.25,3.82,159.5,3.51,12,264,-,-,-,-,-,
24,Irelia,7,25%,3,4,2,1,3,25%,5.5,3.25,6,3.54,262.25,5.69,14.1,306,-,-,-,-,-,
25,Zilean,7,25%,5,2,2,1,1,50%,5,1.5,8,8.67,208.5,5.01,12.4,299,-,-,-,-,-,
26,Akali,7,25%,6,1,1,1,0,100%,7,4,7,3.5,168,4.54,11.1,300,-,-,-,-,-,
27,Singed,6,21.4%,2,4,2,2,2,50%,3.5,2.25,8.75,5.44,251.25,6.15,13.2,322,-,-,-,-,-,
28,Swain,5,17.9%,-,5,4,2,3,40%,2.4,3,4.8,2.4,186.2,5.29,9.3,266,-,-,-,-,-,
29,Caitlyn,4,14.3%,-,4,3,0,4,0%,0.5,3.75,1.25,0.47,220.75,6.96,8.3,261,-,-,-,-,-,
30,Cho'Gath,3,10.7%,-,3,3,1,2,33.3%,1.33,1.67,2.33,2.2,209.33,6.27,9.6,289,-,-,-,-,-,
31,Tristana,3,10.7%,-,3,2,1,2,33.3%,5.67,4.33,0.67,1.46,221.67,6.52,10.9,320,-,-,-,-,-,
32,Trundle,3,10.7%,-,3,3,0,3,0%,0.67,3.33,2,0.8,81,2.76,5.7,194,-,-,-,-,-,
33,Mordekaiser,3,10.7%,2,1,1,1,0,100%,3,0,9,12,324,8.6,14.3,379,-,-,-,-,-,
34,Lee Sin,2,7.1%,-,2,2,1,1,50%,3,5,4,1.4,197,5.47,10.1,279,-,-,-,-,-,
35,Teemo,2,7.1%,-,2,1,1,1,50%,9,3,6.5,5.17,273.5,5.9,16.9,363,-,-,-,-,-,
36,Gangplank,1,3.6%,-,1,1,1,0,100%,3,0,10,13,120,4.15,9.1,315,-,-,-,-,-,
37,Sion,1,3.6%,-,1,1,1,0,100%,2,0,6,8,253,7.54,11.9,355,-,-,-,-,-,
38,Blitzcrank,1,3.6%,-,1,1,0,1,0%,8,4,17,6.25,253,4.71,15.3,285,-,-,-,-,-,
39,Dr. Mundo,1,3.6%,-,1,1,0,1,0%,0,3,1,0.33,167,5.35,6.6,211,-,-,-,-,-,
40,Garen,1,3.6%,-,1,1,0,1,0%,5,5,3,1.6,110,3.71,7.6,256,-,-,-,-,-,
41,Kassadin,1,3.6%,-,1,1,0,1,0%,3,3,0,1,166,5.6,7.4,250,-,-,-,-,-,
42,Lux,1,3.6%,-,1,1,0,1,0%,1,3,1,0.67,98,3.39,5.6,194,-,-,-,-,-,
43,Poppy,1,3.6%,-,1,1,0,1,0%,0,2,4,2,82,2.84,5.8,201,-,-,-,-,-,
44,Rammus,1,3.6%,-,1,1,0,1,0%,1,4,5,1.5,100,2.44,8.8,215,-,-,-,-,-,
45,Urgot,1,3.6%,-,1,1,0,1,0%,2,3,2,1.33,140,4.84,6.5,225,-,-,-,-,-,
46,Ezreal,28,90.3%,4,24,10,11,13,45.8%,4.17,2.42,6.67,4.48,269.63,7.63,12.2,346,-,-,-,-,-,
47,Jayce,26,83.9%,14,12,7,7,5,58.3%,2.67,2.83,6.08,3.09,218.17,6.26,10.6,305,-,-,-,-,-,
48,Shen,24,77.4%,6,18,9,7,11,38.9%,2.78,2.56,5.94,3.41,181.56,5.37,10.1,299,-,-,-,-,-,
49,Sona,23,74.2%,7,16,7,12,4,75%,1.31,2.13,11.69,6.12,23.88,0.67,8.8,247,-,-,-,-,-,
50,Orianna,22,71%,13,9,5,8,1,88.9%,4,1,6.89,10.89,281.44,8.84,12.1,381,-,-,-,-,-,
51,Karthus,21,67.7%,5,16,6,7,9,43.8%,4.25,2.88,5.56,3.41,283.31,8.14,12.2,349,-,-,-,-,-,
52,Maokai,21,67.7%,6,15,6,9,6,60%,1.73,2.13,9.53,5.28,103.87,2.96,9.5,271,-,-,-,-,-,
53,Skarner,21,67.7%,12,9,5,7,2,77.8%,1.56,2.44,6.89,3.45,115.89,3.31,9.4,268,-,-,-,-,-,
54,Anivia,19,61.3%,12,7,3,4,3,57.1%,3.71,1.57,6.43,6.45,308.86,8.55,12.8,355,-,-,-,-,-,
55,Alistar,19,61.3%,14,5,3,2,3,40%,0.6,4,6.6,1.8,26.6,0.8,6.8,204,-,-,-,-,-,
56,Irelia,17,54.8%,9,8,6,4,4,50%,2.5,3.25,4.5,2.15,232.38,7.15,10.4,321,-,-,-,-,-,
57,Blitzcrank,17,54.8%,12,5,5,3,2,60%,1,3,8.6,3.2,17.4,0.46,8.5,224,-,-,-,-,-,
58,Kog'Maw,14,45.2%,4,10,3,6,4,60%,3.4,2.2,5.3,3.95,232.6,7.03,10.6,321,-,-,-,-,-,
59,Vladimir,14,45.2%,5,9,5,5,4,55.6%,4,3,5.44,3.15,275.67,7.65,12.3,341,-,-,-,-,-,
60,Evelynn,14,45.2%,12,2,1,2,0,100%,7,2,9,8,209.5,6.53,12.1,376,-,-,-,-,-,
61,Nunu,13,41.9%,2,11,6,5,6,45.5%,0.73,2.55,5.82,2.57,20.64,0.63,6.8,210,-,-,-,-,-,
62,Yorick,11,35.5%,5,6,3,2,4,33.3%,2.33,2.67,4.67,2.63,209.33,6.24,9.5,282,-,-,-,-,-,
63,Corki,10,32.3%,-,10,7,5,5,50%,3.9,3.1,6.1,3.23,245.4,6.92,11.6,326,-,-,-,-,-,
64,Jax,10,32.3%,5,5,3,3,2,60%,3.2,2.8,5.8,3.21,199.2,6.07,10.2,310,-,-,-,-,-,
65,Dr. Mundo,7,22.6%,-,7,2,5,2,71.4%,0.71,1.71,6,3.92,123.71,3.8,8.4,258,-,-,-,-,-,
66,Graves,7,22.6%,-,7,4,3,4,42.9%,3.14,3.29,4.71,2.39,265.71,7.57,11.5,327,-,-,-,-,-,
67,Leona,7,22.6%,-,7,5,2,5,28.6%,1.14,4.43,8.29,2.13,18,0.53,7.2,211,-,-,-,-,-,
68,Olaf,7,22.6%,2,5,4,2,3,40%,4.6,3.8,7.4,3.16,179.6,4.89,11.3,308,-,-,-,-,-,
69,Lee Sin,7,22.6%,4,3,2,3,0,100%,4.33,3,14.33,6.22,124.67,3.59,10,287,-,-,-,-,-,
70,Nidalee,7,22.6%,4,3,2,3,0,100%,2.67,1.33,6.67,7,281.67,8.39,12.9,383,-,-,-,-,-,
71,Twisted Fate,7,22.6%,7,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,Taric,6,19.4%,-,6,5,2,4,33.3%,0.33,2.83,7.17,2.65,13.17,0.38,7,202,-,-,-,-,-,
73,Lulu,6,19.4%,-,6,4,1,5,16.7%,0.83,3.83,4.33,1.35,29.83,0.89,6.8,203,-,-,-,-,-,
74,Lux,6,19.4%,1,5,4,2,3,40%,1.6,1.4,5,4.71,179.4,5.35,10,299,-,-,-,-,-,
75,Shyvana,6,19.4%,1,5,5,0,5,0%,0.8,3.6,4.2,1.39,141.2,3.79,8.1,217,-,-,-,-,-,
76,Malphite,6,19.4%,2,4,3,2,2,50%,1.25,2.25,6.5,3.44,156.25,4.89,8.8,276,-,-,-,-,-,
77,Diana,6,19.4%,3,3,2,1,2,33.3%,3,3.33,4.67,2.3,208.33,5.88,10.2,288,-,-,-,-,-,
78,Udyr,5,16.1%,-,5,4,0,5,0%,0.6,3.8,2.2,0.74,128.4,4.06,7.4,233,-,-,-,-,-,
79,Morgana,5,16.1%,1,4,3,1,3,25%,3.25,2.25,3.5,3,251.5,7.22,10.5,302,-,-,-,-,-,
80,Vayne,4,12.9%,-,4,2,3,1,75%,7.25,2.75,6.5,5,230,7.47,11.7,381,-,-,-,-,-,
81,Zyra,4,12.9%,-,4,2,2,2,50%,0,2.75,9.5,3.45,42.5,1.2,7.8,220,-,-,-,-,-,
82,Cassiopeia,4,12.9%,-,4,2,1,3,25%,4.75,2.75,2.75,2.73,204.75,6.9,9.4,317,-,-,-,-,-,
83,Gragas,4,12.9%,2,2,2,0,2,0%,1,1.5,2.5,2.33,306,7.75,11.2,283,-,-,-,-,-,
84,Katarina,4,12.9%,3,1,1,0,1,0%,1,5,2,0.6,169,6.17,7.1,259,-,-,-,-,-,
85,Miss Fortune,3,9.7%,-,3,1,2,1,66.7%,3.33,3,5.33,2.89,235.33,6.92,11.6,341,-,-,-,-,-,
86,Caitlyn,3,9.7%,-,3,3,1,2,33.3%,2.67,1.33,2.33,3.75,297.67,8.97,11.7,352,-,-,-,-,-,
87,Ryze,3,9.7%,-,3,2,1,2,33.3%,2,3.67,4.33,1.73,172.67,6.44,7.6,284,-,-,-,-,-,
88,Cho'Gath,3,9.7%,1,2,2,1,1,50%,1.5,2,3.5,2.5,125.5,3.24,9.2,236,-,-,-,-,-,
89,Sivir,3,9.7%,3,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90,Singed,2,6.5%,-,2,1,2,0,100%,3.5,1,6.5,10,287,8.17,13.2,376,-,-,-,-,-,
91,Xin Zhao,2,6.5%,-,2,2,2,0,100%,2,2.5,15.5,7,136,4.24,9.6,299,-,-,-,-,-,
92,Zilean,2,6.5%,-,2,1,1,1,50%,3.5,3.5,8,3.29,212,7.3,9.3,319,-,-,-,-,-,
93,Darius,2,6.5%,-,2,2,0,2,0%,2.5,4,2.5,1.25,188,5.05,8.8,238,-,-,-,-,-,
94,Nocturne,2,6.5%,-,2,2,0,2,0%,2.5,5.5,9,2.09,224.5,4.65,12.9,267,-,-,-,-,-,
95,Ahri,2,6.5%,1,1,1,1,0,100%,6,0,3,9,184,6.13,11.4,380,-,-,-,-,-,
96,Draven,2,6.5%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97,Amumu,1,3.2%,-,1,1,1,0,100%,4,6,16,3.33,145,3.47,12.4,297,-,-,-,-,-,
98,Soraka,1,3.2%,-,1,1,1,0,100%,1,0,11,12,12,0.34,8.3,232,-,-,-,-,-,
99,Jarvan IV,1,3.2%,-,1,1,0,1,0%,6,3,14,6.67,297,7.16,14,337,-,-,-,-,-,
100,Riven,1,3.2%,-,1,1,0,1,0%,2,6,1,0.5,242,5.97,10.2,251,-,-,-,-,-,
101,Swain,1,3.2%,-,1,1,0,1,0%,8,5,10,3.6,243,5.86,13.2,318,-,-,-,-,-,
102,Tristana,1,3.2%,-,1,1,0,1,0%,0,5,0,0,200,7.01,7,245,-,-,-,-,-,
103,Gangplank,1,3.2%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104,Twitch,1,3.2%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
